기간,순위,프로그램,시청률
2011년 8월 4주,7,SBS월화드라마(무사백동수),17.6
2011년 8월 4주,10,드라마스페셜(보스를지켜라),16.4
2011년 9월 1주,6,특별기획(여인의향기),17.9
2011년 9월 1주,7,SBS월화드라마(무사백동수),17.5
2011년 9월 1주,10,주말극장(내사랑내곁에),15.9
2011년 9월 2주,6,SBS월화드라마(무사백동수),17.4
2011년 9월 2주,9,특별기획(여인의향기),15.4
2011년 9월 2주,10,드라마스페셜(보스를지켜라),15.0
2011년 9월 3주,10,주말극장(내사랑내곁에),16.6
2011년 9월 4주,6,SBS월화드라마(무사백동수),18.1
2011년 10월 1주,8,SBS월화드라마(무사백동수),17.0
2011년 10월 2주,10,SBS월화드라마(무사백동수),16.7
2011년 10월 3주,6,SBS대기획(뿌리깊은나무),18.7
2011년 10월 3주,8,SBS월화드라마(무사백동수),17.9
2011년 10월 4주,4,주말극장(내사랑내곁에),19.4
2011년 10월 4주,7,SBS대기획(뿌리깊은나무),18.4
2011년 10월 5주,6,SBS대기획(뿌리깊은나무),19.0
2011년 10월 5주,10,SBS월화드라마(천일의약속),16.3
2011년 11월 1주,6,SBS대기획(뿌리깊은나무),18.8
2011년 11월 2주,3,SBS대기획(뿌리깊은나무),19.5
2011년 11월 2주,6,SBS월화드라마(천일의약속),18.3
2011년 11월 3주,3,SBS대기획(뿌리깊은나무),19.9
2011년 11월 4주,3,SBS대기획(뿌리깊은나무),20.6
2011년 11월 4주,6,일요일이좋다1부(런닝맨),18.0
2011년 11월 4주,9,SBS월화드라마(천일의약속),17.1
2011년 12월 1주,4,SBS대기획(뿌리깊은나무),20.9
2011년 12월 1주,8,SBS월화드라마(천일의약속),16.7
2011년 12월 2주,3,SBS대기획(뿌리깊은나무),21.6
2011년 12월 2주,9,SBS월화드라마(천일의약속),16.3
2011년 12월 3주,3,SBS대기획(뿌리깊은나무),22.3
2011년 12월 3주,10,SBS월화드라마(천일의약속),16.1
2011년 12월 4주,3,SBS대기획(뿌리깊은나무),23.6
2011년 12월 4주,7,SBS월화드라마(천일의약속),18.4
2012년 1월 2주,10,정글의법칙,16.7
2012년 1월 3주,9,일일드라마(내딸꽃님이),15.7
2012년 1월 4주,10,순간포착,16.4
